Classificador,Normalizacao,Activation,Solver,Media,Min,Max,Mediana,Desvio,Tempo
MLP-1H,minmax_0_1,tanh,adam,95.15151515151516,87.87878787878788,100.0,96.96969696969697,3.0903148567229004,0.9001970195770264
MLP-2H,minmax_0_1,tanh,adam,95.87878787878788,87.87878787878788,100.0,96.96969696969697,3.361315060330193,0.9479960346221924
MQ,none,-,-,35.63636363636363,24.242424242424242,51.515151515151516,36.36363636363637,5.540070245831,0.07404973983764648
PL,none,-,-,91.45454545454547,75.75757575757575,96.96969696969697,92.42424242424244,4.682382039204533,0.9160786819458008
