Classificador,Média,Mínimo,Máximo,Mediana,Desvio Padrão,Tempo de execução
MQ,0.07826086956521738,0.0,0.17391304347826086,0.08695652173913043,0.05768043113661565,0.008882761001586914
PL,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.02749806661015982,0.008269786834716797
MLP-1H,0.13043478260869565,0.043478260869565216,0.21739130434782608,0.08695652173913043,0.07275304578557179,1.79123854637146
MLP-2H,0.1739130434782609,0.08695652173913043,0.2608695652173913,0.17391304347826086,0.061487546190134565,3.934816837310791
