Classificador,Normalizacao,Activation,Solver,Media,Min,Max,Mediana,Desvio,Tempo
MLP-1H,zscore,tanh,sgd,39.21212121212121,27.27272727272727,48.484848484848484,39.39393939393939,5.227953403201126,1.0038921213150025
MLP-2H,none,tanh,adam,41.757575757575765,33.33333333333333,54.54545454545454,42.42424242424242,4.5872822957978805,1.561886100769043
MQ,zscore,-,-,14.909090909090908,6.0606060606060606,24.242424242424242,15.151515151515152,4.405522871608787,0.002682962417602539
PL,none,-,-,41.090909090909086,27.27272727272727,51.515151515151516,42.42424242424242,6.095656223360076,3.183868131637573
